Iteration,ExecutionTime
271,5.829200000001533e-05
272,2.5708999999984883e-05
273,2.070800000003592e-05
274,2.020799999996603e-05
275,1.9957999999986598e-05
276,2.008300000000407e-05
277,1.966599999997376e-05
278,1.9417000000021556e-05
279,1.933300000001026e-05
280,2.579199999996895e-05
281,2.2000000000022002e-05
282,2.2250000000001435e-05
283,2.0041000000026177e-05
284,1.9541999999983517e-05
285,1.912500000000872e-05
286,1.966700000000099e-05
287,1.95410000000118e-05
288,1.925000000002619e-05
289,1.9709000000034393e-05
290,2.4583999999994166e-05
291,2.1292000000006084e-05
292,2.0958000000015353e-05
293,1.9708999999978882e-05
294,1.925000000002619e-05
295,1.9417000000021556e-05
296,1.925000000002619e-05
297,1.9207999999992786e-05
298,1.895899999998507e-05
299,1.912500000000872e-05
300,2.4666000000006516e-05
301,2.187499999994902e-05
302,2.104199999997114e-05
303,1.9374999999988152e-05
304,1.9167000000042123e-05
305,1.925000000002619e-05
306,1.8999999999991246e-05
307,1.9082999999975314e-05
308,1.8917000000007178e-05
309,1.916699999998661e-05
310,2.533300000001626e-05
311,2.1165999999961382e-05
312,2.1416999999968045e-05
313,1.9417000000021556e-05
314,1.9500000000005624e-05
315,1.9084000000002543e-05
316,2.3166999999990612e-05
317,2.2041999999999895e-05
318,2.062499999999634e-05
319,2.049999999997887e-05
320,4.829100000003361e-05
321,7.299999999998974e-05
322,4.562499999999359e-05
323,3.341600000000833e-05
324,2.345800000003173e-05
325,5.250000000001087e-05
326,8.366599999998225e-05
327,2.512500000001472e-05
328,2.270799999998241e-05
329,2.008299999994856e-05
330,2.525000000003219e-05
331,2.083299999999788e-05
332,1.979199999996295e-05
333,1.9084000000002543e-05
334,1.8250000000052946e-05
335,1.7917000000033934e-05
336,1.787500000000053e-05
337,2.0041000000026177e-05
338,2.249999999998087e-05
339,2.7541999999991518e-05
340,2.0542000000012273e-05
341,2.062499999999634e-05
342,5.6957999999995845e-05
343,2.6124999999987963e-05
344,2.4167000000019367e-05
345,4.066600000002252e-05
346,2.9292000000014085e-05
347,2.4791999999995706e-05
348,3.324999999998468e-05
349,2.733300000001826e-05
350,3.2542000000024274e-05
351,2.2750000000015813e-05
352,2.2124999999983963e-05
353,2.062499999999634e-05
354,1.9790999999991232e-05
355,2.291599999998395e-05
356,3.300000000000525e-05
357,2.2374999999963396e-05
358,2.199999999996649e-05
359,2.495899999999107e-05
360,2.566700000000699e-05
361,2.44169999999988e-05
362,2.4583999999994166e-05
363,2.049999999997887e-05
364,2.3749999999989058e-05
365,2.3166999999990612e-05
366,1.7957999999984597e-05
367,2.8458999999980694e-05
368,1.8332999999981503e-05
369,1.766600000002727e-05
370,2.304100000000142e-05
371,2.2250000000001435e-05
372,2.2165999999990138e-05
373,1.7333999999979977e-05
374,1.7415999999992327e-05
375,1.737499999998615e-05
376,1.737499999998615e-05
377,1.7333999999979977e-05
378,1.7125000000006718e-05
379,1.6999999999989246e-05
380,2.22909999999521e-05
381,2.2166999999961856e-05
382,2.1915999999955194e-05
383,1.7084000000000543e-05
384,1.725000000002419e-05
385,1.7124999999951207e-05
386,1.7125000000006718e-05
387,1.683299999999388e-05
388,1.716699999998461e-05
389,1.7083000000028825e-05
390,2.1916999999982423e-05
391,2.2041999999999895e-05
392,2.1708000000009164e-05
393,1.7125000000006718e-05
394,1.7290999999974854e-05
395,1.6999999999989246e-05
396,1.724999999996868e-05
397,1.7166000000012893e-05
398,1.7082999999973314e-05
399,1.691600000003346e-05
400,2.220799999996803e-05
401,2.208300000000607e-05
402,2.166600000003127e-05
403,1.704200000002265e-05
404,1.7207999999990786e-05
405,1.6874999999971774e-05
406,1.7125000000006718e-05
407,1.6874999999971774e-05
408,1.7167000000040122e-05
409,1.7165999999957382e-05
410,2.220899999999526e-05
411,2.2041000000028177e-05
412,2.1916000000010705e-05
413,1.7166000000012893e-05
414,1.724999999996868e-05
415,1.704200000002265e-05
416,1.7166000000012893e-05
417,1.6917000000005178e-05
418,1.7167000000040122e-05
419,1.6875000000027285e-05
420,2.195800000004411e-05
421,2.208299999995056e-05
422,2.0999999999993246e-05
423,1.945800000002773e-05
424,2.333300000001426e-05
425,1.87499999999563e-05
426,1.8957999999957842e-05
427,1.870799999997841e-05
428,2.0667000000029745e-05
429,2.1959000000015827e-05
430,2.249999999998087e-05
431,2.2165999999990138e-05
432,2.1958999999960316e-05
433,1.916699999998661e-05
434,1.7415999999992327e-05
435,1.737499999998615e-05
436,1.7167000000040122e-05
437,1.683299999999388e-05
438,1.691599999997795e-05
439,1.6874999999971774e-05
440,2.2000000000022002e-05
441,2.1916000000010705e-05
442,2.1708000000009164e-05
443,1.6958000000011353e-05
444,1.691599999997795e-05
445,1.7125000000006718e-05
446,1.6958000000011353e-05
447,1.6999999999989246e-05
448,1.7290999999974854e-05
449,1.7125000000006718e-05
450,2.195800000004411e-05
451,2.2125000000039474e-05
452,2.1708000000009164e-05
453,1.704199999996714e-05
454,1.7125000000006718e-05
455,1.7166000000012893e-05
456,1.7291000000030365e-05
457,1.725000000002419e-05
458,1.7166000000012893e-05
459,1.704200000002265e-05
460,2.104199999997114e-05
461,2.2040999999972666e-05
462,2.220799999996803e-05
463,1.883299999999588e-05
464,1.716699999998461e-05
465,1.6791000000015988e-05
466,1.7207999999990786e-05
467,1.7083000000028825e-05
468,1.7082999999973314e-05
469,1.7082999999973314e-05
470,2.1916999999982423e-05
471,2.2000000000022002e-05
472,2.1084000000004544e-05
473,2.179200000002046e-05
474,1.9790999999991232e-05
475,1.862499999999434e-05
476,1.895899999998507e-05
477,1.8917000000007178e-05
478,1.9082999999975314e-05
479,1.8958000000013353e-05
480,2.24169999999968e-05
481,2.1958999999960316e-05
482,1.916699999998661e-05
483,1.8375000000014907e-05
484,1.6999999999989246e-05
485,1.7083000000028825e-05
486,1.725000000002419e-05
487,1.7125000000006718e-05
488,1.716699999998461e-05
489,1.683299999999388e-05
490,2.2000000000022002e-05
491,2.04169999999948e-05
492,2.187500000000453e-05
493,1.7916999999978422e-05
494,1.691599999997795e-05
495,1.704200000002265e-05
496,1.695899999998307e-05
497,1.6999999999989246e-05
498,1.6958000000011353e-05
499,1.6999999999989246e-05
500,2.1957999999988598e-05
501,2.1790999999993232e-05
502,2.2000000000022002e-05
503,2.0874999999975774e-05
504,1.7125000000006718e-05
505,1.7125000000006718e-05
506,1.7333999999979977e-05
507,1.7000000000044757e-05
508,1.7207999999990786e-05
509,1.691599999997795e-05
510,2.2000000000022002e-05
511,2.166700000000299e-05
512,2.2583000000020448e-05
513,1.7625000000021096e-05
514,1.7207999999990786e-05
515,1.6750000000009813e-05
516,1.6874999999971774e-05
517,1.68339999999656e-05
518,1.6917000000005178e-05
519,1.683400000002111e-05
520,2.2332999999985503e-05
521,2.1957999999988598e-05
522,2.179200000002046e-05
523,1.6917000000005178e-05
524,1.7082999999973314e-05
525,1.6709000000003638e-05
526,1.716699999998461e-05
527,1.6874999999971774e-05
528,1.7083000000028825e-05
529,1.7082999999973314e-05
530,2.2041999999999895e-05
531,2.1582999999991692e-05
532,2.2165999999990138e-05
533,1.787500000000053e-05
534,1.6917000000005178e-05
535,1.7083000000028825e-05
536,1.6833000000049392e-05
537,1.6917000000005178e-05
538,1.7209000000018015e-05
539,1.683299999999388e-05
540,2.1833999999998355e-05
541,2.1916999999982423e-05
542,2.175000000004257e-05
543,1.6999999999989246e-05
544,1.6999999999989246e-05
545,1.68339999999656e-05
546,1.7167000000040122e-05
547,1.6999999999989246e-05
548,1.6875000000027285e-05
549,1.6958000000011353e-05
550,2.1415999999996327e-05
551,2.179200000002046e-05
552,2.2083999999977788e-05
553,1.7750000000038568e-05
554,1.7084000000000543e-05
555,1.691599999997795e-05
556,1.6999999999989246e-05
557,1.691600000003346e-05
558,1.6917000000005178e-05
559,1.6666999999970233e-05
560,2.1541999999985517e-05
561,2.2000000000022002e-05
562,2.199999999996649e-05
563,1.7082999999973314e-05
564,1.6958000000011353e-05
565,1.7000000000044757e-05
566,1.6999999999989246e-05
567,1.6958000000011353e-05
568,1.6917000000005178e-05
569,1.6875000000027285e-05
570,2.1708999999980882e-05
571,2.1749999999987057e-05
572,2.1832999999971126e-05
573,1.691599999997795e-05
574,1.7209000000018015e-05
575,1.6875000000027285e-05
576,1.695899999998307e-05
577,1.7000000000044757e-05
578,1.7082999999973314e-05
579,1.6917000000005178e-05
580,2.2124999999983963e-05
581,2.1833000000026637e-05
582,2.187500000000453e-05
583,1.7125000000006718e-05
584,1.6917000000005178e-05
585,1.6917000000005178e-05
586,1.704199999996714e-05
587,1.7000000000044757e-05
588,1.6999999999989246e-05
589,1.704200000002265e-05
590,2.1959000000015827e-05
591,2.179200000002046e-05
592,2.2124999999983963e-05
593,1.704099999999542e-05
594,1.7125000000006718e-05
595,1.6959000000038582e-05
596,1.7082999999973314e-05
597,1.704199999996714e-05
598,1.7084000000000543e-05
599,1.6916999999949667e-05
600,2.1832999999971126e-05
601,2.2000000000022002e-05
602,2.179199999996495e-05
603,1.6959000000038582e-05
604,1.724999999996868e-05
605,1.704199999996714e-05
606,1.7125000000006718e-05
607,1.6874999999971774e-05
608,1.7082999999973314e-05
609,1.704200000002265e-05
610,2.2000000000022002e-05
611,2.1749999999987057e-05
612,2.1959000000015827e-05
613,1.704099999999542e-05
614,1.6917000000005178e-05
615,1.691599999997795e-05
616,1.7083000000028825e-05
617,1.6999999999989246e-05
618,1.7167000000040122e-05
619,1.6874999999971774e-05
620,2.187500000000453e-05
621,2.1833999999998355e-05
622,2.1833000000026637e-05
623,1.7084000000000543e-05
624,1.7082999999973314e-05
625,1.7084000000000543e-05
626,1.6917000000005178e-05
627,1.6999999999989246e-05
628,1.7084000000000543e-05
629,1.704099999999542e-05
630,2.124999999997268e-05
631,2.1832999999971126e-05
632,2.2000000000022002e-05
633,1.7833999999994354e-05
634,1.7292000000002083e-05
635,1.7000000000044757e-05
636,1.7208000000046297e-05
637,1.6917000000005178e-05
638,1.725000000002419e-05
639,1.6750000000009813e-05
640,2.2041999999999895e-05
641,2.195800000004411e-05
642,2.187500000000453e-05
643,1.6958000000011353e-05
644,1.7125000000006718e-05
645,1.6917000000005178e-05
646,1.716699999998461e-05
647,1.6875000000027285e-05
648,1.7082999999973314e-05
649,1.6999999999989246e-05
650,2.1749999999987057e-05
651,2.1625000000025096e-05
652,2.1959000000015827e-05
653,1.704200000002265e-05
654,1.716699999998461e-05
655,1.7166000000012893e-05
656,1.7084000000000543e-05
657,1.683400000002111e-05
658,1.6999999999989246e-05
659,1.6917000000005178e-05
660,2.1749999999987057e-05
661,2.208300000000607e-05
662,2.1916999999982423e-05
663,1.704099999999542e-05
664,1.716699999998461e-05
665,1.704199999996714e-05
666,1.6999999999989246e-05
667,1.6999999999989246e-05
668,1.7000000000044757e-05
669,1.691600000003346e-05
670,2.1292000000006084e-05
671,2.208299999995056e-05
672,2.195800000004411e-05
673,2.2083999999977788e-05
674,1.933300000001026e-05
675,1.8667000000027745e-05
676,1.8917000000007178e-05
677,1.7582999999987692e-05
678,2.1166000000016894e-05
679,2.0083999999975788e-05
680,5.962500000000759e-05
681,2.2542000000014273e-05
682,2.166700000000299e-05
683,2.1417000000023556e-05
684,2.1541999999985517e-05
685,2.0916999999953667e-05
686,2.062499999999634e-05
687,1.9790999999991232e-05
688,1.8457999999998975e-05
689,1.8291999999975328e-05
690,2.283400000002711e-05
691,2.2999999999995246e-05
692,2.2166999999961856e-05
693,1.8000000000018e-05
694,1.745800000002573e-05
695,1.716699999998461e-05
696,1.737499999998615e-05
697,1.7375000000041663e-05
698,1.7417000000019556e-05
699,1.7125000000006718e-05
700,2.2125000000039474e-05
701,2.2542000000014273e-05
702,2.2124999999983963e-05
703,1.724999999996868e-05
704,1.733300000000826e-05
705,1.724999999996868e-05
706,2.1207999999994787e-05
707,1.779200000001646e-05
708,1.766599999997176e-05
709,1.787500000000053e-05
710,2.2167000000017367e-05
711,2.1708999999980882e-05
712,2.2000000000022002e-05
713,2.179200000002046e-05
714,1.924999999997068e-05
715,1.9083000000030825e-05
716,1.9083000000030825e-05
717,1.9207999999992786e-05
718,1.925000000002619e-05
719,1.7416999999964045e-05
720,3.712499999997121e-05
721,2.5833000000030637e-05
722,1.9542000000039028e-05
723,1.933300000001026e-05
724,1.9082999999975314e-05
725,1.9625000000023096e-05
