Iteration,ExecutionTime
0,0.00029554100000001027
1,1.0665999999992515e-05
2,5.874999999988528e-06
3,5.540999999997798e-06
4,5.667000000042499e-06
5,5.083000000016824e-06
6,5.207999999978785e-06
7,5.124999999994717e-06
8,5.124999999994717e-06
9,5.291999999990082e-06
10,5.124999999994717e-06
11,5.084000000044053e-06
12,5.16699999997261e-06
13,5.124999999994717e-06
14,5.124999999994717e-06
15,5.166000000000892e-06
16,5.083000000016824e-06
17,5.083999999988542e-06
18,5.124999999994717e-06
19,5.083999999988542e-06
20,5.124999999994717e-06
21,6.541999999998271e-06
22,5.207999999978785e-06
23,5.16699999997261e-06
24,5.207999999978785e-06
25,5.16699999997261e-06
26,5.167000000028121e-06
27,5.167000000028121e-06
28,5.250000000012189e-06
29,5.209000000006014e-06
30,5.124999999994717e-06
31,5.16699999997261e-06
32,5.167000000028121e-06
33,5.16699999997261e-06
34,5.124999999994717e-06
35,5.124999999994717e-06
36,5.166000000000892e-06
37,5.208000000034296e-06
38,5.209000000006014e-06
39,5.167000000028121e-06
40,5.208999999950503e-06
41,5.166000000000892e-06
42,5.207999999978785e-06
43,5.166000000000892e-06
44,5.082999999961313e-06
45,5.125000000050228e-06
46,5.083000000016824e-06
47,5.124999999994717e-06
48,5.041000000038931e-06
49,5.124999999994717e-06
50,5.082999999961313e-06
51,5.166000000000892e-06
52,5.124999999994717e-06
53,5.166000000000892e-06
54,5.082999999961313e-06
55,5.124999999994717e-06
56,5.166000000000892e-06
57,5.083000000016824e-06
58,5.083999999988542e-06
59,5.124999999994717e-06
60,5.083999999988542e-06
61,5.124999999994717e-06
62,5.042000000010649e-06
63,5.167000000028121e-06
64,5.083999999988542e-06
65,5.124999999994717e-06
66,5.082999999961313e-06
67,5.084000000044053e-06
68,5.124999999994717e-06
69,5.124999999994717e-06
70,5.124999999994717e-06
71,5.124999999994717e-06
72,5.166000000000892e-06
73,5.082999999961313e-06
74,5.16699999997261e-06
75,5.124999999994717e-06
76,5.125000000050228e-06
77,5.124999999994717e-06
78,5.124999999994717e-06
79,5.208000000034296e-06
80,5.166000000000892e-06
81,5.124999999994717e-06
82,5.083000000016824e-06
83,5.166000000000892e-06
84,5.125000000050228e-06
85,5.167000000028121e-06
86,5.083999999988542e-06
87,5.16699999997261e-06
88,5.125000000050228e-06
89,5.16699999997261e-06
90,5.124999999994717e-06
91,5.124999999994717e-06
92,5.083000000016824e-06
93,5.084000000044053e-06
94,5.082999999961313e-06
95,5.083000000016824e-06
96,5.167000000028121e-06
97,5.083999999988542e-06
98,5.124999999994717e-06
99,5.124999999994717e-06
100,5.125000000050228e-06
101,5.083999999988542e-06
102,5.124999999994717e-06
103,5.16699999997261e-06
104,5.125000000050228e-06
105,5.124999999994717e-06
106,5.082999999961313e-06
107,5.124999999994717e-06
108,5.082999999961313e-06
109,5.124999999994717e-06
110,5.124999999994717e-06
111,5.124999999994717e-06
112,5.083000000016824e-06
113,5.209000000006014e-06
114,5.082999999961313e-06
115,5.207999999978785e-06
116,5.166000000000892e-06
117,5.166000000000892e-06
118,5.083000000016824e-06
119,5.125000000050228e-06
120,5.083000000016824e-06
121,5.124999999994717e-06
122,5.083000000016824e-06
123,5.083999999988542e-06
124,5.124999999994717e-06
125,5.167000000028121e-06
126,5.124999999994717e-06
127,5.16699999997261e-06
128,5.083999999988542e-06
129,5.250000000012189e-06
130,5.124999999994717e-06
131,5.124999999994717e-06
132,5.124999999994717e-06
133,5.083000000016824e-06
134,5.083000000016824e-06
135,5.042000000010649e-06
136,5.124999999994717e-06
137,5.082999999961313e-06
138,5.124999999994717e-06
139,5.083000000016824e-06
140,5.124999999994717e-06
141,5.083999999988542e-06
142,5.083000000016824e-06
143,5.082999999961313e-06
144,5.124999999994717e-06
145,5.082999999961313e-06
146,5.124999999994717e-06
147,5.125000000050228e-06
148,5.16699999997261e-06
149,5.166000000000892e-06
150,5.166000000000892e-06
151,5.208000000034296e-06
152,5.166000000000892e-06
153,5.082999999961313e-06
154,9.45800000001773e-06
155,5.209000000006014e-06
156,5.124999999994717e-06
157,5.209000000006014e-06
158,5.249999999956678e-06
159,5.166000000000892e-06
160,5.124999999994717e-06
161,5.124999999994717e-06
162,5.166000000000892e-06
163,5.124999999994717e-06
164,5.16699999997261e-06
165,5.124999999994717e-06
166,5.083000000016824e-06
167,5.083999999988542e-06
168,5.124999999994717e-06
169,5.167000000028121e-06
170,5.291000000018364e-06
171,5.208000000034296e-06
172,5.124999999994717e-06
173,5.250000000012189e-06
174,5.125000000050228e-06
175,5.124999999994717e-06
176,5.166000000000892e-06
177,5.124999999994717e-06
178,5.16699999997261e-06
179,5.167000000028121e-06
180,5.209000000006014e-06
181,5.16699999997261e-06
182,5.208999999950503e-06
183,5.167000000028121e-06
184,5.124999999994717e-06
185,5.166000000000892e-06
186,5.125000000050228e-06
187,5.166000000000892e-06
188,5.082999999961313e-06
189,5.124999999994717e-06
190,5.124999999994717e-06
191,5.124999999994717e-06
192,5.209000000006014e-06
193,5.207999999978785e-06
194,5.250000000012189e-06
195,5.250000000012189e-06
196,5.16699999997261e-06
197,5.124999999994717e-06
198,5.166000000000892e-06
199,5.124999999994717e-06
200,5.124999999994717e-06
201,5.124999999994717e-06
202,5.209000000006014e-06
203,5.250000000012189e-06
204,5.125000000050228e-06
205,5.124999999994717e-06
206,5.041999999955138e-06
207,5.16699999997261e-06
208,5.167000000028121e-06
209,5.16699999997261e-06
210,5.16699999997261e-06
211,5.209000000006014e-06
212,5.167000000028121e-06
213,5.083999999988542e-06
214,5.124999999994717e-06
215,5.124999999994717e-06
216,5.166000000000892e-06
217,5.167000000028121e-06
218,5.124999999994717e-06
219,5.167000000028121e-06
220,5.167000000028121e-06
221,5.209000000006014e-06
222,5.124999999994717e-06
223,5.209000000006014e-06
224,5.207999999978785e-06
225,5.166000000000892e-06
226,5.124999999994717e-06
227,5.207999999978785e-06
228,5.250000000012189e-06
229,5.124999999994717e-06
230,5.082999999961313e-06
231,5.16699999997261e-06
232,5.16699999997261e-06
233,5.209000000006014e-06
234,5.167000000028121e-06
235,5.16699999997261e-06
236,5.124999999994717e-06
237,5.124999999994717e-06
238,5.16699999997261e-06
239,5.083000000016824e-06
240,5.124999999994717e-06
241,5.124999999994717e-06
242,5.16699999997261e-06
243,5.125000000050228e-06
244,5.124999999994717e-06
245,5.16699999997261e-06
246,5.125000000050228e-06
247,5.124999999994717e-06
248,5.166000000000892e-06
249,5.166000000000892e-06
250,5.45800000001373e-06
251,6.208000000007541e-06
252,5.3749999999741505e-06
253,5.332999999996257e-06
254,5.332999999996257e-06
255,5.3339999999679755e-06
256,5.291999999990082e-06
257,5.291999999990082e-06
258,5.291000000018364e-06
259,5.375000000029662e-06
260,5.291999999990082e-06
261,5.291999999990082e-06
262,5.250000000012189e-06
263,5.375000000029662e-06
264,5.332999999996257e-06
265,5.3339999999679755e-06
266,5.291000000018364e-06
267,5.8750000000440394e-06
268,6.625000000037851e-06
269,6.749999999999812e-06
270,6.667000000015744e-06
271,6.708000000021919e-06
272,5.874999999988528e-06
273,5.79200000000446e-06
274,5.79200000000446e-06
275,5.790999999977231e-06
276,5.791000000032742e-06
277,5.750000000026567e-06
278,5.790999999977231e-06
279,5.707999999993163e-06
280,5.707999999993163e-06
281,5.790999999977231e-06
282,5.707999999993163e-06
283,5.79200000000446e-06
284,5.709000000020392e-06
285,5.750000000026567e-06
286,5.750000000026567e-06
287,5.750000000026567e-06
288,5.707999999993163e-06
289,5.709000000020392e-06
290,5.791000000032742e-06
291,5.749999999971056e-06
292,5.708000000048674e-06
293,5.750000000026567e-06
294,5.79200000000446e-06
295,5.707999999993163e-06
296,5.833999999982353e-06
297,5.749999999971056e-06
298,5.874999999988528e-06
299,5.749999999971056e-06
300,5.79200000000446e-06
301,5.791999999948949e-06
302,5.707999999993163e-06
303,5.749999999971056e-06
304,5.707999999993163e-06
305,5.79200000000446e-06
306,5.749999999971056e-06
307,5.707999999993163e-06
308,5.709000000020392e-06
309,5.833999999982353e-06
310,5.708000000048674e-06
311,5.707999999993163e-06
312,5.750000000026567e-06
313,5.666999999986988e-06
314,5.707999999993163e-06
315,5.708999999964881e-06
316,5.750000000026567e-06
317,5.79200000000446e-06
318,5.79200000000446e-06
319,5.749999999971056e-06
320,5.707999999993163e-06
321,5.79200000000446e-06
322,5.916999999966421e-06
323,5.541999999969516e-06
324,5.16699999997261e-06
325,5.124999999994717e-06
326,5.209000000006014e-06
327,5.124999999994717e-06
328,5.209000000006014e-06
329,5.167000000028121e-06
330,5.167000000028121e-06
331,5.167000000028121e-06
332,5.125000000050228e-06
333,5.124999999994717e-06
334,5.16699999997261e-06
335,5.042000000010649e-06
336,5.16699999997261e-06
337,5.167000000028121e-06
338,5.332999999996257e-06
339,5.166000000000892e-06
340,5.207999999978785e-06
341,6.0000000000060005e-06
342,5.208000000034296e-06
343,4.999999999977245e-06
344,4.999999999977245e-06
345,4.957999999999352e-06
346,4.999999999977245e-06
347,5.167000000028121e-06
348,5.083000000016824e-06
349,5.000000000032756e-06
350,5.04099999998342e-06
351,4.957999999999352e-06
352,5.042000000010649e-06
353,5.250000000012189e-06
354,4.999999999977245e-06
355,4.95899999997107e-06
356,4.957999999999352e-06
357,5.000000000032756e-06
358,4.957999999999352e-06
359,4.999999999977245e-06
360,4.957999999999352e-06
361,5.000000000032756e-06
362,5.000000000032756e-06
363,4.957999999999352e-06
364,5.000000000032756e-06
365,4.959000000026581e-06
366,4.999999999977245e-06
367,4.95899999997107e-06
368,5.000000000032756e-06
369,4.959000000026581e-06
370,5.000000000032756e-06
371,5.042000000010649e-06
372,5.000000000032756e-06
373,4.999999999977245e-06
374,5.04099999998342e-06
375,5.000000000032756e-06
376,4.957999999999352e-06
377,4.999999999977245e-06
378,5.000000000032756e-06
379,4.959000000026581e-06
380,4.957999999999352e-06
381,4.999999999977245e-06
382,4.957999999999352e-06
383,5.04099999998342e-06
384,4.957999999999352e-06
385,4.95899999997107e-06
